7:7578,13512,64510,46283,13387,53174,49180,93254,14617,58529
18:87919,54225,119480,113294,110110,57788,72904,59425,105963,120772
19:19004,19480,59083,19928,111624,17,302,654,76,616
36:71626,39574,25713,94649,98548,31714,40326,4563,1131,13564
37:66670,32962,34923,321,51235,46642,73550,13743,83493,32538
41:763,52081,90708,25846,25635,96976,61261,30824,122558,10445
42:117046,102287,61772,5347,3420,107418,56688,9258,29236,52860
43:40552,32347,16350,58958,42636,99957,9627,80284,15095,98470
44:122378,35129,123008,98995,156,119365,68610,98797,29634,53684
45:76,14147,110820,11751,117814,36181,4858,15580,78863,47506
46:4967,35101,7222,5268,15122,6395,14560,37190,521,786
59:55521,39624,5348,367,12874,38903,58529,23472,57518,107658
60:1277,8445,7667,370,33252,15248,5621,12160,8926,63313
69:49722,36575,11643,8115,6800,47752,34000,4991,4353,84413
70:751,40258,28262,61119,44960,64199,28565,115859,57880,16310
94:121810,10226,31452,52788,64118,111963,82413,87181,68863,1221
106:40269,85678,4125,1644,7667,15248,12160,8926,63313,14670
115:194,34000,5414,4991,56948,7785,87215,4353,5189,47413
116:39573,47531,60085,28139,95600,92127,80267,110337,29197,110762
142:3407,52095,1066,24502,38215,32546,3789,54216,18122,8211
143:356,86747,394,107116,83752,83982,120406,2587,82600,74404
148:55521,62155,13328,20067,75313,55279,80415,12886,20841,724
150:294,10733,27211,8495,18916,10456,51909,22879,19037,19907
156:75986,2657,36575,4258,12605,1824,116671,88280,22944,28595
161:10709,2644,2976,15873,5026,162,109171,75294,13526,122263
171:65974,9735,35250,13138,91284,123341,21820,56766,83408,17942
172:60912,102071,4719,6098,8192,4699,3175,60327,21735,78873
174:14902,11047,62155,19233,13969,93793,10695,138,5301,9346
177:32998,96289,30525,16319,17508,15755,4764,85678,4125,1644
196:18667,33458,15242,24849,11326,4633,63794,53485,15326,13726
202:88133,35569,25637,5100,15035,4563,20493,10692,12207,11326
211:7578,35603,101367,33599,10966,10695,1099,27031,3461,4625
217:66363,91209,117835,24419,15720,103800,88178,71392,46122,15762
220:64973,22713,121130,42010,58456,83884,55725,93455,40356,45641
223:55521,8444,1710,44835,21841,15741,14859,30151,42157,23841
224:4589,71836,62485,39566,69082,45742,1467,601,95427,4965
225:27999,4057,54327,36345,13569,64660,8094,86888,34968,51007
228:56895,71491,1217,52552,15559,2168,650,66890,11836,11977
229:366,4886,35934,115278,51741,2801,16459,4664,43222,28039
231:107022,46024,909,39371,122598,62111,4123,1589,38063,8930
232:55056,41443,83516,100265,120622,109145,37449,77322,48718,78975
238:34000,4991,4353,1109,47413,32577,66060,92900,54936,49737
241:7974,7707,15873,14668,14705,32353,15534,28288,12182,2607
245:40012,63020,3423,19377,2525,22191,35859,13668,75581,74943
249:6323,58974,80125,52312,69693,7869,77297,7163,92648,105409
250:6943,77944,20552,90234,58989,82556,71626,56636,105907,104968
253:5209,3140,110875,63553,6502,64216,102698,31453,112371,48746
257:92932,41,14617,58529,70152,7578,14768,2345,69455,13512
272:1762,80239,2570,41190,269,8688,4400,98474,7970,1069
273:92313,13512,46283,97944,4546,93914,38890,98288,20631,90500
288:4664,1023,43222,28039,16205,72994,86031,35934,22872,54981
290:39307,50834,95021,62114,122598,92111,84549,65672,99209,119448
291:9910,31101,17341,5998,30822,31269,61628,33734,2203,33801
292:21586,95175,103683,43178,1876,33233,3368,5567,78068,113827
294:16912,3463,13368,3423,32301,50678,20715,3103,13091,2157
328:190,303,1102,138,15573,54571,87220,74817,1638,86964
331:4627,53133,37215,83485,6485,120721,24502,74127,14464,21735
345:11401,62840,6604,22481,71157,56860,63444,5993,81619,86660
361:80239,20424,23995,333,75207,114453,105762,38041,18462,44467
376:3943,37032,12015,4173,1896,55274,98561,41037,11053,117983
384:55521,60912,92932,19614,41,4173,18835,27592,37032,31454
401:16092,31076,386,28266,114739,55521,70561,19233,81218,63500
402:51027,62114,122598,62469,65672,99209,119448,63027,87287,86464
410:59997,1131,2628,17508,17329,108706,1644,36241,15963,8115
448:713,12807,78240,120975,29070,24171,117644,15148,60010,82902
449:439,1551,13772,37279,20067,55521,10695,82515,77327,68625
450:37225,12182,934,6073,7707,14668,7974,18298,6979,110875
452:12019,71603,76693,12807,52960,60968,24699,34941,29070,118042
476:10135,8192,4699,9108,24211,71577,398,87293,77841,67157
488:1245,21911,57328,121283,25236,83526,72667,12641,4351,12182
490:136,6593,21817,2454,2931,26765,17341,2692,12893,12748
494:909,39371,645,10247,45964,11836,100190,12569,71961,79137
500:19472,4724,20850,28578,112965,53065,11210,5457,8197,7795
514:100424,16742,95564,58422,98548,21359,40768,5189,84444,14565
525:1146,114299,10276,26339,563,58979,28275,120063,49503,103722
535:15873,2971,121331,8232,72493,2108,5347,6275,18012,68076
536:77113,42776,69198,17431,14617,32463,32817,20822,10455,97
538:71626,57226,39574,42713,1463,7166,4753,1001,6353,3429
539:55521,60912,16788,2163,5581,31908,74144,17382,23333,57030
564:1494,11643,28314,10249,87215,20869,4210,5414,8115,5189
582:35121,12162,37636,97678,112888,94722,117340,75650,29145,66867
585:5638,92292,35767,91694,6491,36845,12155,10869,72105,6103
590:15873,12162,582,702,20467,162,37636,109171,29066,87162
601:31717,75023,18245,118676,90819,121660,105155,48912,94414,90054
618:55430,69826,102347,69999,17607,18772,32009,2031,4486,7358
624:1542,44186,113802,71163,70591,50652,27444,28345,116984,16977
627:1456,190,19757,16266,17,13732,25583,1455,122655,114599
628:88608,65861,39233,21488,75280,84119,6526,1354,8,79924
632:48369,61758,97494,13029,25893,104171,62583,71903,82178,95100
633:3634,4126,87293,77841,52670,26517,67157,14964,21959,19013
634:76028,57974,23440,99396,528,1600,101916,2068,16968,11590
646:22074,51644,100357,35398,42756,58808,98890,96378,55944,55098
666:60800,91907,98995,156,119365,68610,98797,29634,5466,53684
667:2494,1731,3274,105061,37739,7667,3214,52221,7140,91654
669:51119,74425,103046,4292,1200,47670,520,3472,32,13826
678:65419,16742,98548,7061,3635,4026,32290,5347,25735,11053
680:26062,25357,6793,889,99547,38022,112943,16049,22842,967
681:122679,88195,97920,100912,119107,55185,5714,120247,64391,49787
682:10607,7821,5006,41777,75093,109996,92887,43135,121536,79911
683:45128,76423,29561,41808,35676,86257,101109,60844,34846,63800
684:8652,30357,10493,77130,105632,83300,101068,97885,100696,87896
715:10722,92018,82049,28916,104462,98215,105288,62181,38336,97639
716:4682,64752,2475,121562,85239,101051,22944,59957,82109,31298
741:8652,109477,113839,20209,67837,20774,62955,75085,52244,59226
750:12175,43387,40916,93622,27297,27527,122145,6094,7174,1155
754:9047,15122,6395,37190,786,109,521,380,5268,5445
756:8737,58529,15559,26339,4938,5670,28036,45258,9104,704
757:84586,87349,21965,82532,120935,58162,94456,82767,54993,7667
758:7578,92932,41,109399,294,5581,2077,107658,27211,10456
763:60912,16912,16092,41005,2607,12182,19288,250,14705,28288
773:16490,14761,15167,105379,4275,79812,59350,58704,92490,46060
774:10759,99287,16216,62170,32033,79349,45995,49514,94805,112214
775:2644,26371,15412,29189,59526,2976,79842,49333,13070,58366
782:71626,39574,119463,89291,87646,7145,112888,100244,37499,2588
784:85970,95707,60085,11696,95600,80267,110762,30768,82897,84140
793:64926,14942,66730,25280,94158,59698,67127,13221,112112,8313
803:3389,36954,5393,20900,17687,5567,11326,1146,114299,39212
813:35273,58165,103430,81307,36961,71626,29476,50707,26719,80739
815:6266,59845,4422,2543,13138,60085,83599,122386,1311,95600
817:278,1762,1102,1896,80239,2570,41190,8688,2316,61772
818:28755,76837,5894,8111,25647,30056,1131,70388,8211,24502
823:17329,2145,3842,80125,2989,61901,39935,979,109477,64563
825:8058,81350,6945,14912,7506,1376,40557,1057,7375,23697
833:11456,55335,64647,106234,58281,67875,118849,72901,104082,3669
835:52765,12162,2163,1827,2744,117610,1598,3564,3649,43178
838:58461,84808,2717,535,17077,54847,5581,726,49253,76
844:80239,28198,20699,20916,40777,85669,645,673,23995,333
850:105877,53607,96705,18723,17934,1763,9890,13468,9482,92648
856:26765,92454,45068,77404,49722,30485,36575,1296,23697,3973
857:13512,46283,31454,58529,51115,5638,48409,14129,16776,7578
874:18666,79409,80717,7843,6266,12175,27297,23655,52103,3973
891:22726,121156,20322,121705,8312,12492,90615,53025,3502,14855
899:70996,93423,23959,51115,2345,16319,40269,18319,15755,5741
900:105703,34744,29433,12760,28574,34637,55969,30509,90784,72928
911:15720,7491,29290,20405,1225,66363,91209,46211,117835,104369
918:24195,84447,27785,122145,29930,73156,2077,15743,1376,28888
925:21544,2316,8304,5605,954,2668,5057,5575,39303,29991
926:34490,56290,71626,25800,28570,35782,79530,45197,36326,6846
937:55521,439,13772,10733,19037,31063,5741,26735,16553,16593
949:121401,31189,85203,34453,63966,73976,23177,1790,109411,2704
964:71626,39574,61647,43335,32558,56084,7989,20613,3429,40538
970:33801,8,91017,1155,121429,76979,62045,58718,110891,79738
977:3013,36954,13091,11718,19090,11643,4353,56948,1066,8115
981:95360,107400,5857,91996,58033,17888,62964,41808,87559,115461
982:26575,3864,25921,29028,102094,44013,37359,7195,48577,38989
984:55521,64662,35836,5581,58529,23333,3013,2163,57030,36954
992:84526,82585,17061,4664,37489,30319,60085,99962,95600,80267
993:112462,78743,81754,23995,78873,12093,5849,4173,333,645
998:33876,63116,46908,71626,56636,104968,3782,111813,8555,122597
1000:52039,3013,36954,13340,52765,30485,56948,34000,4991,11643
1007:8445,1277,1140,194,5278,4536,1494,5269,13087,20916
1027:28755,40015,76837,70388,11759,24778,12571,98339,50876,5894
1028:48008,11754,2311,20913,10175,29208,3588,9710,21042,74966
1044:65562,15720,3937,30854,14142,2662,38875,36845,2170,1168
1045:15873,1277,1140,102071,4536,80907,59506,3517,10813,2668
1049:68562,14147,29290,35665,33310,4950,74966,704,40924,5857
1068:45275,15503,35962,47143,26738,82532,28262,44960,28565,115859
1069:7989,64621,4338,4563,449,34371,2578,71626,32848,101214
1070:67525,16961,110414,91295,58159,83143,64823,115649,87147,102412
1082:108739,11481,101900,15911,23263,19696,535,4414,100174,84368
1083:4542,1603,3297,1034,5581,138,73007,47858,96408,46784
1088:52990,121723,43178,59987,3973,807,1598,1876,2203,107494
1094:20631,12175,17033,27297,55469,28544,95175,1965,29709,33233
1116:8146,56308,14654,81967,17532,20806,113780,24706,114712,70970
1121:15167,1348,87371,6400,356,2988,38250,6641,6439,3517
1125:55521,25635,96976,61261,77327,13969,10510,58529,24645,4345
1127:60746,62114,122598,97084,65672,66685,20294,99209,119448,63027
1132:13562,64662,18215,35836,20056,23663,31063,86607,5741,14623
1133:1494,11643,56948,34000,5189,20869,8115,4353,5414,1109
1140:730,48596,5785,5387,37225,115125,18749,55657,28288,23626
1141:3789,60493,32546,10180,11590,781,20067,54216,1547,18122
1148:57501,1131,34946,16319,370,4481,50906,30993,1644,3842
1153:15873,64660,10496,34968,725,9822,10226,162,109171,67636
1163:76693,29070,118042,713,22563,1097,103105,85958,20197,86017
1166:120342,44984,5649,8678,53021,94427,55521,59363,49180,27381
1172:99816,88195,119107,55185,13942,94488,77005,57357,94080,22193
1192:82149,8100,33659,21544,95362,2163,9950,6159,15606,11524
1204:35320,70665,28657,89520,9567,20439,15873,91228,117701,57483
1208:4708,6323,7578,70802,1277,525,16607,6033,2345,27211
1209:10869,33763,75313,72247,51027,62114,66078,14402,89594,122598
1234:28314,46290,55698,13169,89557,84444,5538,54823,17186,194
1236:55545,22081,15553,39365,2055,62175,19377,53358,43310,16208
1245:25733,7333,12776,14912,1131,1195,16319,370,1389,50906
1263:121331,72493,2108,5347,6275,18012,5572,13273,11415,8232
1267:42210,30020,14768,10733,19037,84141,31063,5741,615,2163
1269:1747,33796,4021,2543,95707,2307,13138,108296,83599,1311
1288:52295,37742,52601,117489,112135,94291,67016,9362,51645,8
1295:52039,13340,15122,6395,17679,16593,7508,5572,11415,109
1296:5581,31908,58529,23333,2163,57030,16593,294,26339,2345
1302:7578,1140,12874,294,6033,20056,28036,45258,14129,5650
1305:294,99305,2345,29991,1099,20056,3387,16092,17207,34548
1342:120421,5998,33801,31101,83938,110891,39651,59410,21586,83492
1382:8232,120375,101504,29991,13273,29236,52860,101633,46564,3791
1389:71313,71576,61636,75115,76,85140,787,30727,1139,94835
1391:67525,19092,113780,109830,41777,8776,16961,294,13772,62526
1397:25170,8487,22191,8996,5381,5180,14059,1791,39617,16404
1402:44835,21841,3142,15741,14912,14859,30151,42157,28858,8444
1405:76423,29561,41808,79664,62170,86257,101109,60844,63800,24380
1407:69841,21143,24542,1324,34180,31815,51254,103501,21617,90346
1408:93,31101,71584,68562,87089,7675,16515,996,35665,2995
1409:92932,41,58529,60232,10733,19037,18319,31063,26735,27211
1412:31908,26096,6395,109,2163,5581,14998,93442,4338,6078
1413:60912,657,9890,8445,45793,29184,45649,28379,15703,3798
1418:23841,24568,35840,13989,2570,31901,41190,8688,16311,103247
1419:18082,24581,24706,65604,31985,17401,8299,70556,68260,65057
1420:8527,29310,13772,14912,439,2345,14129,86648,16092,16550
1427:1069,16216,110414,107836,62170,32033,79349,55469,83715,94805
1430:10295,108599,36807,4123,5729,85483,16390,119683,121749,17443
1431:45649,23995,20182,6485,8105,4627,333,64204,75207,29066
1435:85678,4125,7667,370,15248,5621,12160,8926,63313,24370
1437:40552,3394,5670,16092,68259,119895,30874,37200,58162,56580
1441:67843,99349,30328,6559,25679,104761,83268,8,6921,1435
1447:28314,34000,4991,4353,194,1109,49722,36575,7785,47413
1448:81402,118605,28139,92127,67649,117869,30011,73123,62393,3152
1457:122387,31332,50834,114444,12792,68924,43555,26555,122426,19744
1458:3973,34000,14285,4991,87215,5414,11643,8115,1109,5189
1469:42939,37279,11608,37710,4633,92739,63794,53485,15326,13726
1477:50497,89472,95298,50560,98260,3789,24502,1066,3407,27231
1486:11653,81910,103049,66797,30555,87239,35681,66509,67459,113294
1490:10702,39000,59987,8213,5117,2203,107494,8383,106739,96690
1491:70359,13925,14923,80999,2031,91115,22842,16056,2862,19264
1500:32429,6266,18041,53504,27874,4991,3274,35507,2117,14197
1503:194,7578,67343,58529,1494,14129,1099,8483,28314,10733
1517:27097,95331,111233,80218,78967,2893,39959,19703,99978,72348
1518:116972,42210,30020,8776,14768,23472,57518,107658,2345,69455
1535:14951,5268,2995,20891,13726,53076,704,4534,2373,10827
1551:1494,87215,5414,11643,8115,28314,46290,16531,20869,5189
1552:89980,8,2583,52059,1435,63757,76,119,64400,1348
1553:109155,3420,72941,29236,5268,52860,101633,46564,7508,38941
1559:15873,109171,12572,75294,9047,83263,81481,69455,106292,110802
1560:15720,20405,7491,3937,66363,91209,117835,24419,103800,88178
1561:70823,8228,96109,95729,13427,109376,72487,44965,30176,106964
1562:16092,386,70561,75000,13390,28036,45258,1786,16593,7578
1569:106311,53622,10950,20914,92586,8691,1200,25966,13380,21785
1570:30556,16621,55965,162,4816,13969,28528,388,7841,4423
1588:109588,84624,1707,10518,45332,118617,72185,62694,78552,101744
1589:15559,56895,52552,1970,704,1217,66890,11977,93431,89722
